Speed,direction,precipitation
4.1152,310,0
4.1152,310,0
2.0576,360,0.0125
3.0864,320,0.0125
3.0864,310,0.0125
4.1152,310,0.0125
2.0576,330,0.0125
2.572,320,0.0125
2.0576,330,0.0125
4.1152,320,0.0125
6.1728,310,0.0125
6.1728,310,0.0125
7.2016,310,0.0125
6.1728,300,0.0125
7.2016,300,0.0125
7.2016,290,0.0125
8.2304,290,0.0125
8.2304,280,0.0125
8.2304,280,0.0125
5.144,280,0.0125
5.144,270,0.0125
3.0864,260,0.0125
6.1728,270,0.0125
7.2016,280,0.0125
4.1152,300,0.0125
2.572,300,0.0125
3.0864,320,0.041666667
5.144,300,0.041666667
4.1152,330,0.041666667
7.2016,300,0.041666667
7.2016,310,0.041666667
7.2016,310,0.041666667
5.144,310,0.041666667
4.1152,300,0.041666667
3.0864,290,0.041666667
3.0864,280,0.041666667
4.1152,300,0.041666667
4.1152,270,0.041666667
2.0576,240,0.041666667
3.0864,100,0.041666667
6.1728,300,0.041666667
5.144,310,0.041666667
4.1152,330,0.041666667
2.0576,340,0.041666667
2.572,20,0.041666667
3.0864,350,0.041666667
2.0576,345,0.041666667
1.5432,345,0.041666667
1.5432,350,0.041666667
1.0288,340,0.041666667
1.0288,360,0.154166667
1.0288,30,0.154166667
1.0288,290,0.154166667
1.0288,270,0.154166667
0.5144,190,0.154166667
2.0576,200,0.154166667
0.5144,180,0.154166667
0.5144,250,0.154166667
2.0576,260,0.154166667
3.0864,270,0.154166667
2.0576,250,0.154166667
2.572,270,0.154166667
1.0288,240,0.154166667
1.5432,300,0.154166667
3.0864,260,0.154166667
5.144,270,0.154166667
5.144,270,0.154166667
5.144,240,0.154166667
4.1152,240,0.154166667
2.0576,210,0.154166667
0.5144,10,0.154166667
2.0576,350,0.154166667
3.0864,360,0.154166667
3.0864,350,0.154166667
3.0864,350,0.029166667
3.0864,30,0.029166667
3.0864,350,0.029166667
6.1728,340,0.029166667
5.144,330,0.029166667
4.1152,340,0.029166667
6.1728,340,0.029166667
4.1152,350,0.029166667
5.144,10,0.029166667
7.2016,330,0.029166667
9.2592,330,0.029166667
10.288,330,0.029166667
10.288,320,0.029166667
13.3744,310,0.029166667
9.2592,280,0.029166667
9.2592,270,0.029166667
